speaker,item,start,label,duration,tp,f0
PL03,rzepaku,346.68,V1,0.0515,346.7057512,205.0769
PL03,zywo,350.18,V1,0.07,350.2149885,183.0441
PL03,kuma,353.449977,V1,0.07,353.4849767,180.0652
PL03,nowo,356.32,V1,0.09,356.3649885,179.9457
PL03,niebo,359.489977,V1,0.06,359.519977,178.4265
PL03,bywalec,362.389977,V1,0.07,362.424966,181.5462
PL03,cumowac,365.44,V1,0.04,365.46,187.0367
PL03,rzepa,368.4847295,V1,0.0461,368.5077798,221.1679
PL03,nieborak,370.789977,V1,0.05,370.814966,202.1623
PL03,babo,373.089977,V1,0.0967,373.1383394,211.7768
PL03,kumaty,375.3702577,V1,0.0297,375.3851063,224.1596
PL03,papa,377.7576274,V1,0.0716,377.7934162,225.2303
PL03,mimoza,380.049977,V1,0.06,380.079977,209.514
PL03,zima,382.619955,V1,0.05,382.644966,229.0172
PL03,popa,385.1987677,V1,0.0607,385.2290971,226.0395
PL03,sumo,387.709977,V1,0.06,387.739977,241.0153
PL03,nowotw€r,390.0584297,V1,0.0376,390.0772339,201.0255
PL03,zimami,392.529977,V1,0.05,392.554966,222.1782
PL03,bywa,395.029977,V1,0.07,395.064966,210.8094
PL03,papaja,397.0482912,V1,0.0497,397.0731613,213.5023
PL03,babochlop,399.6770599,V1,0.0655,399.7098157,195.0242
PL03,mimo,401.9273405,V1,0.0801,401.9673754,224.9523
PL03,popada,404.2298113,V1,0.0534,404.2565012,215.4953
PL03,zywotnie,406.629977,V1,0.0612,406.6605692,197.0564
PL03,rzepaku,409.169977,V1,0.048,409.1940001,198.4592
PL03,zywo,411.8152727,V1,0.0534,411.8419626,223.7646
PL03,kuma,414.4306965,V1,0.051,414.4561732,230.4735
PL03,nowo,416.9369577,V1,0.0873,416.9806321,212.5567
PL03,niebo,419.369977,V1,0.0672,419.403565,212.933
PL03,bywalec,421.769977,V1,0.06,421.799977,195.8453
PL03,cumowac,424.2215979,V1,0.0384,424.240799,221.8914
PL03,rzepa,426.819955,V1,0.051,426.8454728,215.0163
PL03,nieborak,429.24,V1,0.04,429.26,190.5563
PL03,babo,431.7610056,V1,0.0801,431.8010405,199.1255
PL03,kumaty,434.0100731,V1,0.0425,434.0313037,--undefined--
PL03,papa,436.4302221,V1,0.0607,436.4605516,207.5455
PL03,mimoza,439.1706032,V1,0.0861,439.213671,217.6438
PL03,zima,441.579955,V1,0.04,441.5999775,221.0634
PL03,popa,443.9283347,V1,0.0607,443.9586642,211.2306
PL03,sumo,446.2586851,V1,0.0313,446.2743311,244.7981
PL03,nowotw€r,448.5563032,V1,0.0425,448.5775338,207.6416
PL03,zimami,450.999955,V1,0.05,451.024966,201.7411
PL03,ma,453.3759303,V1,0.0813,453.4165718,210.4304
PL03,papaja,455.7268813,V1,0.0497,455.7517514,188.6376
PL03,babochlop,458.1033324,V1,0.0631,458.134875,194.5707
PL03,mimo,460.729977,V1,0.0761,460.768041,221.6139
PL03,popada,463.2759708,V1,0.0473,463.2996278,196.6007
PL03,zywotnie,465.92,V1,0.05,465.9449885,193.0691
PL03,rzepaku,468.42,V1,0.0383,468.4391691,191.7778
PL03,ma,470.9233513,V1,0.0716,470.9591401,222.1681
PL03,ma,473.6989145,V1,0.0728,473.7353099,239.8908
PL03,nowo,476.1262957,V1,0.0801,476.1663305,222.7195
PL03,niebo,478.54,V1,0.05,478.5649885,226.0585
